10878,F7210,1400F7210,,140182100
10979,F9E90,1400F9E90,,140103D80
11045,FCFE0,1400FCFE0,40 53 48 83 EC 20 83 3D ? ? ? ? ? 74,140106EC0
11213,101A30,140101A30,48 89 5C 24 10 48 89 6C 24 18 48 89 74 24 20 57 48 83 EC 30 48 8B 01 48 8B EA 0F,14010BCB0
11216,101CC0,140101CC0,,14010BF30
11483,10F5C0,14010F5C0,,140119880
11903,125D80,140125D80,40 56 57 41 54 41 56 41 57 48 83 EC 30 48 C7 44 24 20 FE FF FF FF 48 89 5C 24 68 48 89 6C 24 70 45 0F B6 F8 8B,14012CBC0
12176,131990,140131990,,140138530
12193,1320F0,1401320F0,,140138AA0
12204,1329D0,1401329D0,,140139160
12204,1329D0,1401329D0,,140139160
12272,1349D0,1401349D0,,14013B060
12626,13C740,14013C740,40 57 48 83 EC 50 48 C7 44 24 20 FE FF FF FF 48 89 5C 24 60 48 89 74 24 68 0F 29 74 24 40 0F 28 F2 48,140143BD0
13530,1652D0,1401652D0,40 56 57 41 56 48 83 EC 30 48 C7 44 24 20 FE FF FF FF 48 89 5C 24 58 48 89 6C 24 60 49 8B F1 41,14016ECD0
13657,1713D0,1401713D0,,14017BE70
13789,177790,140177790,40 57 48 83 EC 30 48 C7 44 24 20 FE FF FF FF 48 89 5C 24 50 48 8B ? ? ? ? ? 48 85 C0 75,1401818D0
13897,17D4C0,14017D4C0,,1401872E0
13898,17D550,14017D550,48 89 5C 24 10 48 89 74 24 18 57 48 83 EC 40 80 3D ? ? ? ? ? 8B,140187370
13902,17D910,14017D910,40 53 48 83 EC 20 83 B9 9C 02 00 00 00 48,140187720
13903,17D960,14017D960,40 53 48 83 EC 20 48 8B D9 8B 89 88 02 00 00 8B,140187770
13904,17DA10,14017DA10,,140187820
13923,17E4B0,14017E4B0,48 89 5C 24 08 57 48 83 EC 30 80 3D ? ? ? ? ? 8B,1401882F0
14108,186790,140186790,,1401941C0
14179,1894F0,1401894F0,40 53 56 41 54 41 57 48 83 EC 38 45,140193780
